Indicator;Country;Date;value
Deaths;Nigeria;22/12/2014;8
Cases;Sierra Leone;22/12/2014;8939
Deaths;Sierra Leone;22/12/2014;2556
Cases;Spain;22/12/2014;1
Deaths;Spain;22/12/2014;0
Cases;United States of America;22/12/2014;4
Deaths;United States of America;22/12/2014;1
Cases;Senegal;22/12/2014;1
Deaths;Senegal;22/12/2014;0
Cases;Guinea;23/12/2014;2597
Deaths;Guinea;23/12/2014;1607
Cases;Liberia;23/12/2014;7830
Deaths;Liberia;23/12/2014;3376
Cases;Mali;23/12/2014;8
Deaths;Mali;23/12/2014;6
Cases;Nigeria;23/12/2014;20
Deaths;Nigeria;23/12/2014;8
Cases;Sierra Leone;23/12/2014;9004
Deaths;Sierra Leone;23/12/2014;2582
Cases;Spain;23/12/2014;1
Deaths;Spain;23/12/2014;0
Cases;United States of America;23/12/2014;4
Deaths;United States of America;23/12/2014;1
Cases;Senegal;23/12/2014;1
Deaths;Senegal;23/12/2014;0
Cases;Guinea;24/12/2014;2597
Deaths;Guinea;24/12/2014;1607
Cases;Liberia;24/12/2014;7862
Deaths;Liberia;24/12/2014;3384
Cases;Mali;24/12/2014;8
Deaths;Mali;24/12/2014;6
Cases;Nigeria;24/12/2014;20
Deaths;Nigeria;24/12/2014;8
Cases;Sierra Leone;24/12/2014;9004
Deaths;Sierra Leone;24/12/2014;2582
Cases;Spain;24/12/2014;1
Deaths;Spain;24/12/2014;0
Cases;United States of America;24/12/2014;4
Deaths;United States of America;24/12/2014;1
Cases;Senegal;24/12/2014;1
Deaths;Senegal;24/12/2014;0
Cases;Guinea;26/12/2014;2630
Deaths;Guinea;26/12/2014;1654
Cases;Liberia;26/12/2014;7862
Deaths;Liberia;26/12/2014;3384
Cases;Mali;26/12/2014;8
Deaths;Mali;26/12/2014;6
Cases;Nigeria;26/12/2014;20
Deaths;Nigeria;26/12/2014;8
Cases;Sierra Leone;26/12/2014;9203
Deaths;Sierra Leone;26/12/2014;2655
Cases;Spain;26/12/2014;1
Deaths;Spain;26/12/2014;0
Cases;United States of America;26/12/2014;4
Deaths;United States of America;26/12/2014;1
Cases;Senegal;26/12/2014;1
Deaths;Senegal;26/12/2014;0
Cases;Guinea;29/12/2014;2695
Deaths;Guinea;29/12/2014;1697
Cases;Liberia;29/12/2014;7977
Deaths;Liberia;29/12/2014;3413
Cases;Mali;29/12/2014;8
Deaths;Mali;29/12/2014;6
Cases;Nigeria;29/12/2014;20
Deaths;Nigeria;29/12/2014;8
Cases;Sierra Leone;29/12/2014;9409
Deaths;Sierra Leone;29/12/2014;2732
Cases;Spain;29/12/2014;1
Deaths;Spain;29/12/2014;0
Cases;United States of America;29/12/2014;4
Deaths;United States of America;29/12/2014;1
Cases;Senegal;29/12/2014;1
Deaths;Senegal;29/12/2014;0
Cases;Guinea;30/12/2014;2706
Deaths;Guinea;30/12/2014;1708
Cases;Liberia;30/12/2014;7977
Deaths;Liberia;30/12/2014;3413
Cases;Mali;30/12/2014;8
Deaths;Mali;30/12/2014;6
Cases;Nigeria;30/12/2014;20
Deaths;Nigeria;30/12/2014;8
Cases;Sierra Leone;30/12/2014;9446
Deaths;Sierra Leone;30/12/2014;2758
Cases;Spain;30/12/2014;1
Deaths;Spain;30/12/2014;0
Cases;United States of America;30/12/2014;4
Deaths;United States of America;30/12/2014;1
Cases;Senegal;30/12/2014;1
Deaths;Senegal;30/12/2014;0
Cases;Guinea;31/12/2014;2707
Deaths;Guinea;31/12/2014;1709
Cases;Liberia;31/12/2014;8018
Deaths;Liberia;31/12/2014;3423
Cases;Mali;31/12/2014;8
Deaths;Mali;31/12/2014;6
Cases;Nigeria;31/12/2014;20
Deaths;Nigeria;31/12/2014;8
Cases;Sierra Leone;31/12/2014;9446
Deaths;Sierra Leone;31/12/2014;2758
Cases;Spain;31/12/2014;1
Deaths;Spain;31/12/2014;0
Cases;United States of America;31/12/2014;4
Deaths;United States of America;31/12/2014;1
Cases;Senegal;31/12/2014;1
Deaths;Senegal;31/12/2014;0
Cases;Senegal;2/01/2015;1
Cases;Guinea;2/01/2015;2730
Deaths;Guinea;2/01/2015;1739
Cases;Liberia;2/01/2015;8018
Deaths;Liberia;2/01/2015;3423
Cases;Mali;2/01/2015;8
Deaths;Mali;2/01/2015;6
Cases;Nigeria;2/01/2015;20
Deaths;Nigeria;2/01/2015;8
Cases;Sierra Leone;2/01/2015;9633
Deaths;Sierra Leone;2/01/2015;2827
Cases;Spain;2/01/2015;1
